id,s_fs_lev,level_description,s_fs_name_v
3605,7.0,advanced diploma,Post graduate diploma in mental health and post graduate diploma of dementia care
3606,3.0,certificate iii,Certificate III in Carpentry
3607,10.0,,Research based pre and post pregnancy myotherapy treatment
3608,6.0,diploma,Diploma of Health Sciences
3609,4.0,certificate iv,Certificate 4 in Fitness
3610,3.0,certificate iii,Cert III in childhood Education and care.
3611,9.0,higher than a degree,Graduate diploma of interpreting and translation
3612,8.0,bachelor,batch of engineering
3613,3.0,certificate iii,Cert 111 in Hairdressing
3614,8.0,bachelor,Bachelor of Sport Management & Bachelor of Business
3615,8.0,bachelor,Bachelor of Education (Primary)
3616,6.0,diploma,Diploma of Mental Health
3617,8.0,bachelor,I want to do social worker or nursing if they have one
3618,4.0,certificate iv,Very IV in Leisue and Helath
3619,6.0,diploma,Diploma of Community Services
3620,6.0,diploma,Diploma of accounting
3621,9.0,higher than a degree,Master in Mental Health Nursing.
3622,2.0,certificate ii,general education
3623,6.0,diploma,Diploma in early childhood education and care
3624,6.0,diploma,Diploma of Paramedical Science
3625,8.0,bachelor,Bachelor of Nursing
3626,4.0,certificate iv,Certificate lV training and assessment
3627,3.0,certificate iii,Cert  3 in electrotechnology
3628,8.0,bachelor,Bachelor of Dermal Science
3629,4.0,certificate iv,Roof drainage
3630,7.0,advanced diploma,Advance Diploma
3631,4.0,certificate iv,Certificate 4 disability
3632,6.0,diploma,Diploma of Youth Work
3633,4.0,certificate iv,Certificate 4 in Accounting
3634,8.0,bachelor,Bachelor of Graphic Design
3635,8.0,bachelor,Bachelor of Creative Arts (Drama)
3636,3.0,certificate iii,Information Technology
3637,7.0,advanced diploma,Advanced diploma of hospitality management
3638,6.0,diploma,Diploma of early childhood education and care
3639,8.0,bachelor,Bachelor of sport and exercise science
3640,9.0,higher than a degree,Bachelor of nursing
3641,6.0,diploma,Diploma
3642,10.0,,Understanding
3643,4.0,certificate iv,Accounting
3644,8.0,bachelor,Bachelor of Business (Financial Planning)
3645,3.0,certificate iii,Hospitality
3646,8.0,bachelor,Bachelor of Nursing
3647,3.0,certificate iii,Certificate 3 in Bagtube
3648,4.0,certificate iv,Certificate IV in Computer Systems Technology
3649,8.0,bachelor,Bachelor of law
3650,8.0,bachelor,Bachelor of Business (accounting)
3651,8.0,bachelor,Security course braybook
3652,6.0,diploma,Building and Construction
3653,6.0,diploma,Diploma of Nursing
3654,4.0,certificate iv,certificate iv for aged care
3655,3.0,certificate iii,engineering - fabrication and trade
3656,3.0,certificate iii,Joinery cert 3
3657,6.0,diploma,Diploma of Interior Design and Decoration
3658,4.0,certificate iv,Mental health
3659,8.0,bachelor,Double Degree: Bachelor of Commerce/Bachelor of Laws.
3660,4.0,certificate iv,cyber security
3661,4.0,certificate iv,engineering at wantirna
3662,6.0,diploma,Diploma of Alcohol and Other Drugs
3663,9.0,higher than a degree,Grand
3664,6.0,diploma,Payroll Services
3665,1.0,certificate i,Certificate 1 in work education through the NDIS and OUTLOOK  support services in Narre Warren South Victoria
3666,8.0,bachelor,Bachelor of Arts/Law
3667,10.0,,Level 2 bridge inspection coarse.
3668,5.0,vce or vcal,VCE yr11
3669,3.0,certificate iii,cert 3  support aged care
3670,8.0,bachelor,BACHELOR OF MECHANICAL ENGINEERING
3671,6.0,diploma,Diploma in out of school aged children
3672,6.0,diploma,Diploma community services
3673,7.0,advanced diploma,Advanced Diploma of Financial Planning
3674,1.0,certificate i,cert 1 in work education
3675,4.0,certificate iv,Allied health assistant cetificate four
3676,10.0,,Short course in wine making
3677,5.0,vce or vcal,VCE UNIT 3&4
3678,3.0,certificate iii,Certificate 3 in bus truck and trailer
3679,4.0,certificate iv,Cert IV skill set soy
3680,10.0,,Lead Auditor IMS
3681,8.0,bachelor,Social work
3682,3.0,certificate iii,certificate3 in EAL (further study)
3683,6.0,diploma,Diploma of Early Childhood Education and Care
3684,6.0,diploma,Diploma of agriculture
3685,6.0,diploma,Sports Leaderhship & Management
3686,9.0,higher than a degree,Bachelor of Dermal Sciences
3687,9.0,higher than a degree,Masters of Speech Pathology
3688,10.0,,Coaching course with Jen Allen through VICC
3689,6.0,diploma,Health sciences
3690,8.0,bachelor,Monash University Bachelor of Nursing
3691,3.0,certificate iii,NIL
3692,2.0,certificate ii,Vcal
3693,9.0,higher than a degree,Psychology honors
3694,3.0,certificate iii,cert III in mechanical engineering
3695,6.0,diploma,Diploma of Accounting
3696,6.0,diploma,Interior Design and Decoration
3697,3.0,certificate iii,Certificate 3 in Visual Art
3698,3.0,certificate iii,Cert 3 in Electro Technology
3699,8.0,bachelor,Bachelor of Paramedicine/Bachelor of Nursing
3700,2.0,certificate ii,Carpentry cert 2
3701,8.0,bachelor,Bachelor of communication (Public Relations)
3702,4.0,certificate iv,Cert IV engineering
3703,8.0,bachelor,Bachelor of Business (Marketing)
3704,9.0,higher than a degree,Graduate Certificate im Educational Businesses Leadership
3705,1.0,certificate i,English writing & speaking
3706,8.0,bachelor,Bachelor of paramedicine
3707,4.0,certificate iv,Veterinary Nursing
3708,3.0,certificate iii,Certificate 3 in visual arts
3709,4.0,certificate iv,Certificate 4 in Mental Health
3710,2.0,certificate ii,Certificate 2 general education for adults
3711,4.0,certificate iv,Cert 4 Plumbing license
3712,3.0,certificate iii,Cert 3 in early childhood edit stock
3713,6.0,diploma,Diploma in Early Childhood
3714,5.0,vce or vcal,vce
3715,6.0,diploma,Diploma Of Visual Arts
3716,3.0,certificate iii,Certificate 3 in Digital media and information technology
3717,3.0,certificate iii,Certificate 3 in Individual Support
3718,9.0,higher than a degree,Bachelor of Engineering (Civil and Infrastructure) (Honours)
3719,2.0,certificate ii,Certificate II in General Education for Adults
3720,3.0,certificate iii,Hairdressing
3721,8.0,bachelor,Bachelor's of Elentronic and Electrical Engineering
3722,7.0,advanced diploma,Advanced Diploma of Graphic Design
3723,2.0,certificate ii,Split systems and heat pumps
3724,6.0,diploma,Diploma in Community Services
3725,8.0,bachelor,Bachelor of Social Work- Rmit
3726,6.0,diploma,Diploma of early childhood education and care
3727,3.0,certificate iii,Advanced Woolhandling
3728,6.0,diploma,Diploma in counseling skills
3729,8.0,bachelor,Bachelor of social science with a major in criminology
3730,6.0,diploma,Diploma of Aviation Commercial Pilot (Aeroplane)
3731,6.0,diploma,Dimploma of community Service
3732,4.0,certificate iv,Cert 4 in disability
3733,8.0,bachelor,Batch of primary education
3734,6.0,diploma,Diploma in Horticulture
3735,6.0,diploma,Diploma of Early Childhood education and care
3736,5.0,vce or vcal,Certificate 2 in Community Services
3737,2.0,certificate ii,Building and constitution
3738,3.0,certificate iii,Cert 3 in individual support for aged snd Disability
3739,6.0,diploma,Diploma of Health Sciences
3740,4.0,certificate iv,continuing enrollment in cert IV Engineering
3741,4.0,certificate iv,Beauty therapy
3742,4.0,certificate iv,Sport and recreation Certificate IV
3743,6.0,diploma,Diploma of development of sport (elite)
3744,8.0,bachelor,Bachelor of education (early childhood and primary school)
3745,9.0,higher than a degree,Masters of nursing
3746,7.0,advanced diploma,Advanced Diploma of Screen and Media (Film and Television)
3747,3.0,certificate iii,certificate 3 in plumbing
3748,4.0,certificate iv,Not sure
3749,10.0,,IPAD COURSE
3750,8.0,bachelor,Bachelor of Arts
3751,6.0,diploma,Diploma of Nursing
3752,2.0,certificate ii,introduction to hospitality 1&2. Barista and  Hospitality course. commercial cookery course  food hygiene course. etc.
3753,6.0,diploma,Diploma of nursing
3754,6.0,diploma,accounting
3755,7.0,advanced diploma,Advanced Diploma in Community Sector Management
3756,8.0,bachelor,Bachelor of Finance
3757,4.0,certificate iv,Cert 4 in massage therapy
3758,9.0,higher than a degree,Masters of Informatics
3759,6.0,diploma,Diploma of Early childhood education
3760,4.0,certificate iv,Certificate IV Accounting and Bookkeeping
3761,3.0,certificate iii,Carpentry
3762,6.0,diploma,Diploma of Health Science
3763,4.0,certificate iv,Very four in disability
3764,6.0,diploma,Diploma in finance & broking
3765,9.0,higher than a degree,Bachlor of Business (Human Resources Management) @ RMIT
3766,6.0,diploma,Diploma in Conservation and Land Management
3767,3.0,certificate iii,in lnadscape construction (third year)
3768,10.0,,CPR and First Aid
3769,8.0,bachelor,Bachelor of applied science and masters of speech pathology
3770,6.0,diploma,Diploma of Accounting
3771,8.0,bachelor,Bachelor of Education (Primary)
3772,6.0,diploma,Diploma in school aged care
3773,6.0,diploma,Diploma of Teacher Education preparation
3774,3.0,certificate iii,Certificate 111 in Cleaning Operations.
3775,6.0,diploma,Psychology
3776,4.0,certificate iv,Certificate IV in Veterinary Nursing
3777,3.0,certificate iii,Certificate III In Animals Studies
3778,3.0,certificate iii,Child care
3779,3.0,certificate iii,Animal studies
3780,8.0,bachelor,Bachelor of art visual art
3781,6.0,diploma,Diploma of Community Services.
3782,4.0,certificate iv,Certificate IV in Design
3783,8.0,bachelor,Bachelor of fine arts
3784,8.0,bachelor,Bachelor of Nursing
3785,4.0,certificate iv,Visual arts at the Gordon.
3786,6.0,diploma,Dementia care
3787,6.0,diploma,Diploma of Website Development
3788,6.0,diploma,Diploma of Counselling
3789,6.0,diploma,Diploma in WHS
3790,6.0,diploma,Diploma of early childhood
3791,4.0,certificate iv,Business
3792,6.0,diploma,CHCE50113 diploma of early childhood education and care
3793,3.0,certificate iii,Light vehicle mechanic
3794,8.0,bachelor,Nursing degree
3795,7.0,advanced diploma,Advance Diploma of Accounting
3796,8.0,bachelor,Bachelor of Community and Human Services
3797,8.0,bachelor,Bachelor of Education and Bachelor ofScience
3798,4.0,certificate iv,Engineering (welding)
3799,3.0,certificate iii,Certificate III  in Ageing Support
3800,4.0,certificate iv,Certificate IV in Business
3801,8.0,bachelor,Bachlor of social work at uni
3802,3.0,certificate iii,Cert 3 in commercial cookery 2nd year apprentice
3803,8.0,bachelor,Bachelor of Science (Osteopathy)
3804,6.0,diploma,Early Childhood Education and Care
3805,8.0,bachelor,Bachelor of Environmental Science and Biology at The university of Sydney.
3806,6.0,diploma,Diploma of music industry
3807,7.0,advanced diploma,Advanced diploma case management and community services
3808,8.0,bachelor,Landscape Architecture
3809,4.0,certificate iv,Cert IV sterilization
3810,6.0,diploma,Children services
3811,8.0,bachelor,Bachelor of Business (Human Resources)
3812,3.0,certificate iii,1 would like the computer teacher more  active teaching very clear about the lesson of the computer...............may be keep going to learn English.
3813,10.0,,Leadership program from city of Brimbank.
3814,3.0,certificate iii,Education Support
3815,9.0,higher than a degree,Masters in teaching (primary and secondary)
3816,9.0,higher than a degree,masters of food science and technology
3817,8.0,bachelor,Bachelor of Illustration
3818,4.0,certificate iv,Gas servicing and conversion at PICAC
3819,4.0,certificate iv,Cert IV in Accounting
3820,6.0,diploma,Diploma in Laws (University of Sydney
3821,8.0,bachelor,Design & business
3822,4.0,certificate iv,WHS
3823,3.0,certificate iii,Certificate III Companion Animal Services
3824,1.0,certificate i,Work Education
3825,7.0,advanced diploma,Advanced Diploma in Community  Sector Management
3826,10.0,,Transition ed
3827,4.0,certificate iv,Cert IV in Training and Assessment
3828,8.0,bachelor,Osteopathy
3829,9.0,higher than a degree,Bachelor of business
3830,6.0,diploma,Diploma of Community service
3831,3.0,certificate iii,Pathology Collection
3832,6.0,diploma,Diploma of Nursing
3833,6.0,diploma,Diploma of nursing
3834,3.0,certificate iii,Animal welfare
3835,6.0,diploma,Diploma of Accounting
3836,8.0,bachelor,Bachelor of psychology
3837,8.0,bachelor,Bachelor of nursing.
3838,9.0,higher than a degree,Bachelor of psychological science and bachelor of exercise and sports science
3839,3.0,certificate iii,Age care
3840,3.0,certificate iii,Certificate 3 in hospitality
3841,3.0,certificate iii,certificate 3 individual support
3842,4.0,certificate iv,Electrotechnology
3843,9.0,higher than a degree,Master Social Work
3844,3.0,certificate iii,civil construction
3845,4.0,certificate iv,Certificate 4 in disability
3846,6.0,diploma,Diploma of beauty therapy
3847,8.0,bachelor,Bachelor of Electrical&Electronic Engineering (Honours)
3848,4.0,certificate iv,BUILDING CONSTRUCTION
3849,6.0,diploma,Diploma of community services
3850,3.0,certificate iii,Cert 3 in idvidual support
3851,4.0,certificate iv,Certificate IV in Automotive Refinishing Technology
3852,6.0,diploma,Diploma of accounting
3853,3.0,certificate iii,Individual Support Certificate 3
3854,3.0,certificate iii,hairdressing
3855,8.0,bachelor,Bachelor of Applied Science (Surveying) (Honours)
3856,9.0,higher than a degree,Masters Public Health
3857,8.0,bachelor,Bachelor of Computer Science
3858,3.0,certificate iii,cert 3 in carpentry
3859,10.0,,Basic Welding Course
3860,6.0,diploma,Diploma.of community work
3861,3.0,certificate iii,Education support
3862,8.0,bachelor,Paramedicine
3863,9.0,higher than a degree,Bachelor of Law
3864,8.0,bachelor,Health Information Management
3865,6.0,diploma,Diploma of Animal Technology
3866,8.0,bachelor,Bachelor of civil and infrastructure honours
3867,4.0,certificate iv,Fitness
3868,8.0,bachelor,Bachelor of Health Science
3869,3.0,certificate iii,Individual support in aged care
3870,6.0,diploma,Diploma of sports development
3871,8.0,bachelor,Bachelor of business
3872,6.0,diploma,Diploma in Community Service
3873,4.0,certificate iv,Ageing support
3874,8.0,bachelor,Foundation Access Studies  Bachelor of veterinary and wildlife science
3875,6.0,diploma,Diploma in financial counselling and doing the certificate III in General education for adults
3876,10.0,,Hand engraving
3877,10.0,,digital media
3878,3.0,certificate iii,Vet nursing
3879,3.0,certificate iii,Cert 3 in sport and recreation
3880,7.0,advanced diploma,Advanced Diploma of Myotherapy
3881,5.0,vce or vcal,VCAL senior
3882,3.0,certificate iii,CERTIFICATE III IN AIR-CONDITIONING AND REFRIGERATION
3883,9.0,higher than a degree,Bach of science
3884,8.0,bachelor,Bachelors of Mechanical Engineering
3885,4.0,certificate iv,TAE40116 Training and Assessment
3886,1.0,certificate i,Certificate 1 in general education for adults and Intensive Vicational English support program
3887,1.0,certificate i,Wedding Planning Certificate
3888,6.0,diploma,Working diploma in Early childhood education and care
3889,6.0,diploma,Still doing the same course - Diploma of Justice
3890,6.0,diploma,Diploma community services
3891,3.0,certificate iii,Certificate 3 in individual support
3892,8.0,bachelor,B Commerce & B Engineering
3893,6.0,diploma,Digital and Interactive Games
3894,6.0,diploma,Selmar
3895,3.0,certificate iii,Certificate III in electrotechnology Certificate IV in rail signalling
3896,5.0,vce or vcal,VCAL Intermediate
3897,3.0,certificate iii,Certificate 3 in Engineering Jewellery
3898,7.0,advanced diploma,Advanced Diploma of Music Industry
3899,4.0,certificate iv,Certificate 4 in disability
